,省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
403,广东省,珠江流域,尖山,2021-11-16 16:00:00,Ⅲ,23.1,7.46,9.16,358.1,38.6,3.57,0.207,0.149,2.38,*,*,正常
404,广东省,珠江流域,埠场,2021-11-16 16:00:00,Ⅲ,24,7.09,5.5,161.8,34,2.14,0.646,0.167,2.78,*,*,正常
405,广东省,珠江流域,大泉,2021-11-16 16:00:00,Ⅲ,23.9,7.4,6.72,5013.7,4.7,5.02,0.339,0.064,1.7,*,*,正常
406,广东省,珠江流域,寿长,2021-11-16 16:00:00,Ⅳ,24.1,6.84,4.81,2745.7,16.5,4.15,0.28,0.075,1.29,*,*,正常
407,广东省,珠江流域,七星岗,2021-11-16 12:00:00,Ⅱ,21.8,7.65,8.41,261.4,10.8,2.14,0.272,0.034,1.69,*,*,正常
408,广东省,珠江流域,北江石尾,2021-11-16 12:00:00,Ⅱ,21.3,7.9,8.06,303.4,28.1,1.67,0.128,0.05,1.8,*,*,正常
409,广东省,珠江流域,石角,2021-11-16 12:00:00,Ⅱ,21.6,7.8,7.77,253.9,12.8,1.48,0.033,0.053,1.98,*,*,正常
410,广东省,珠江流域,连江西牛,2021-11-16 12:00:00,Ⅱ,20.4,7.92,8.81,175.5,8.6,0.83,0.025,0.04,1.32,*,*,正常
411,广东省,珠江流域,樟村(家乐福),2021-11-16 16:00:00,Ⅱ,22.9,7.14,7.21,617.2,10.8,3.13,0.142,0.066,9.67,*,*,正常
412,广东省,珠江流域,沙田泗盛,2021-11-16 16:00:00,,23,7.38,6.06,10414.3,60,--,0.165,0.053,3.42,*,*,维护
413,广东省,珠江流域,旗岭,2021-11-16 16:00:00,Ⅲ,24,6.92,7.22,697.1,39.2,3.6,0.333,0.192,10.44,*,*,正常
414,广东省,珠江流域,石龙南河,2021-11-16 16:00:00,Ⅱ,23.7,7.15,7.34,263.7,17.6,2.08,0.025,0.068,2.99,*,*,正常
415,广东省,珠江流域,横栏,2021-11-16 12:00:00,Ⅰ,24,7.28,7.58,259,11.9,0.95,0.025,*,*,*,*,正常
416,广东省,珠江流域,中山港码头,2021-11-16 16:00:00,Ⅱ,23.5,7.78,8.07,284.6,16.9,1.15,0.025,0.023,2.25,*,*,正常
417,广东省,珠江流域,赤凤,2021-11-16 16:00:00,Ⅱ,22.5,7,8.54,190,20.1,1.46,0.025,0.056,1.76,*,*,正常
418,广东省,珠江流域,凤江桥,2021-11-16 12:00:00,Ⅲ,22.7,6.73,5.54,191.7,9,2.51,0.18,0.078,2.7,*,*,正常
419,广东省,珠江流域,地都,2021-11-16 12:00:00,Ⅳ,24.1,7.76,4.94,16777.5,43.4,4.07,0.12,0.073,2.9,*,*,正常
420,广东省,珠江流域,隆溪大道桥,2021-11-16 12:00:00,Ⅱ,24.2,7.47,7.3,18152.8,13.1,3.89,0.214,0.044,1.57,*,*,正常
421,广东省,珠江流域,龙石,2021-11-16 12:00:00,Ⅳ,23.7,7.02,3.14,301.5,27.5,3.94,1.416,0.115,4.63,*,*,正常
422,广东省,珠江流域,龟山塔,2021-11-16 16:00:00,Ⅱ,23.2,8.46,10.54,108.3,17.9,2.92,0.17,0.068,1.6,*,*,正常
423,广东省,珠江流域,古封,2021-11-16 16:00:00,Ⅰ,22.8,7.25,7.92,262.9,37.7,1.1,0.025,0.018,1.93,*,*,正常
424,广东省,珠江流域,都骑,2021-11-16 12:00:00,Ⅱ,23,7.72,7.88,262.5,13.7,0.85,0.025,0.026,1.92,*,*,正常
425,广东省,珠江流域,六都水厂上游,2021-11-16 12:00:00,Ⅱ,22.5,7.68,8.02,258.9,10.1,0.84,0.025,0.023,1.86,*,*,正常
426,广东省,珠江流域,蕉门,2021-11-16 12:00:00,Ⅱ,23.5,7.8,7.35,20209.6,35.9,3.54,0.167,0.05,2.51,*,*,正常
427,广东省,珠江流域,洪奇沥,2021-11-16 12:00:00,Ⅱ,23.5,7.79,7.02,6938.6,36.4,1.94,0.088,0.053,2.53,*,*,正常
428,广东省,珠江流域,莲花山,2021-11-16 12:00:00,Ⅲ,23.4,7.44,5.79,5835.4,69.8,4.14,0.031,0.088,4.61,*,*,正常
429,广东省,珠江流域,流溪河山庄,2021-11-16 12:00:00,Ⅱ,21.5,7.01,6.9,130.5,16.4,0.78,0.242,0.041,1.6,*,*,正常
430,山西省,海河流域,下北泉村,2021-11-16 16:00:00,Ⅰ,8.6,8.37,10.63,562,11.1,1.26,0.025,0.005,6.18,*,*,正常
431,山西省,海河流域,册田水库出口,2021-11-16 16:00:00,Ⅳ,5.1,8.91,10.65,1269.5,14.7,6.54,0.025,0.109,1.37,*,*,正常
432,山西省,海河流域,永嘉堡,2021-11-16 16:00:00,Ⅱ,6.5,8.78,11.57,911.9,10.5,2.63,0.025,0.044,6.01,*,*,正常
433,山西省,海河流域,古家坡,2021-11-16 16:00:00,Ⅲ,4.2,8.83,11.94,1072.9,40.3,4.77,0.309,0.095,3.64,*,*,正常
434,山西省,海河流域,利仁皂,2021-11-16 16:00:00,Ⅱ,5.3,8.08,9.37,1815.5,2,3.51,0.123,0.005,3.09,*,*,正常
435,山西省,海河流域,闫家庄大桥,2021-11-16 16:00:00,Ⅱ,6.6,8.24,10.63,599.4,69.8,2.33,0.036,0.066,5.44,*,*,正常
436,山西省,海河流域,白羊墅,2021-11-16 16:00:00,Ⅳ,12,8.2,9.9,2572,392.8,7,1.199,0.114,8.8,*,*,正常
437,山西省,海河流域,王家庄,2021-11-16 16:00:00,Ⅱ,10.3,8.05,10.94,755.8,26.4,2.25,0.074,0.066,7.37,*,*,正常
438,山西省,海河流域,司徒桥,2021-11-16 16:00:00,Ⅱ,8.1,7.8,10.58,714.2,16,2.11,0.025,0.021,10.08,*,*,正常
439,山西省,海河流域,关河水库出口,2021-11-16 16:00:00,Ⅱ,9.7,8.17,12.29,679.7,6.4,2.15,0.028,0.027,3.05,*,*,正常
440,山西省,海河流域,北寨,2021-11-16 16:00:00,Ⅱ,10.6,7.81,10.24,1225.8,10.7,2.64,0.28,0.045,12.04,*,*,正常
441,山西省,海河流域,后湾水库出口,2021-11-16 16:00:00,Ⅱ,9.8,8.06,8.38,618.2,3,2.55,0.152,0.019,5.87,*,*,正常
442,山西省,黄河流域,张峰水库出口,2021-11-16 16:00:00,Ⅱ,13.1,8.42,13.36,448.6,4.8,2.14,0.025,0.016,3.84,*,*,正常
443,山西省,海河流域,东榆林水库出口,2021-11-16 16:00:00,Ⅱ,4.8,8.71,12.52,810.6,16.3,2.96,0.131,0.049,3.08,*,*,正常
444,山西省,黄河流域,杀虎口,2021-11-16 16:00:00,Ⅰ,3.3,8.13,11.82,681.2,2,1.56,0.025,0.005,4.14,*,*,正常
445,山西省,黄河流域,桑柳树,2021-11-16 16:00:00,Ⅳ,9.9,8.07,17.68,2885.8,15.5,6.94,0.444,0.064,28.46,*,*,正常
446,山西省,黄河流域,王庄桥南,2021-11-16 16:00:00,Ⅳ,9.5,8.4,12.19,1390.3,240.8,5.79,1.251,0.177,7.11,*,*,正常
447,山西省,黄河流域,郝村,2021-11-16 16:00:00,Ⅱ,8,8.65,12.5,753.8,24.6,2.81,0.025,0.028,4.12,*,*,正常
448,山西省,黄河流域,张留庄,2021-11-16 16:00:00,劣Ⅴ,12.8,8.35,3.9,--,41.8,17.56,8.199,0.629,11.01,*,*,维护
449,山西省,黄河流域,西曲村,2021-11-16 16:00:00,Ⅲ,13.6,7.67,8.54,1365.5,26.1,4.1,0.569,0.139,9.2,*,*,正常
450,山西省,海河流域,梵王寺,2021-11-16 16:00:00,Ⅳ,9,8.25,10.02,1083.4,10.3,2.65,1.157,0.096,7.52,*,*,正常
451,山西省,黄河流域,万家寨水库,2021-11-16 12:00:00,Ⅲ,7.3,8.75,10.79,533.2,10.5,5.4,0.2,0.026,2.49,*,*,正常
452,山西省,海河流域,代县桥,2021-11-16 16:00:00,Ⅳ,6.5,8.17,9.93,740.9,129.5,2.16,0.13,0.224,5.94,*,*,正常
453,山西省,海河流域,定襄桥,2021-11-16 16:00:00,Ⅴ,7.4,8.08,8.93,823.2,94,4.12,1.752,0.306,8.17,*,*,正常
454,山西省,海河流域,南庄,2021-11-16 16:00:00,Ⅱ,8,8.38,11.27,622.7,43.4,2.44,0.169,0.079,5.52,*,*,正常
455,山西省,海河流域,坪上桥,2021-11-16 16:00:00,Ⅰ,9.9,8.16,9.01,482.7,10.5,0.84,0.025,0.005,4.62,*,*,正常
456,山西省,黄河流域,河西村,2021-11-16 16:00:00,Ⅱ,4.8,8.82,11.92,677.6,13.4,1.95,0.125,0.022,2.32,*,*,正常
457,山西省,黄河流域,上平望,2021-11-16 16:00:00,Ⅲ,10.8,8.56,10.3,1291.6,149.1,5.58,0.82,0.114,6.77,*,*,正常
458,山西省,黄河流域,曲立,2021-11-16 16:00:00,Ⅱ,6.8,8.77,12.78,612.3,6,1.72,0.273,0.061,5.23,*,*,正常
459,山西省,黄河流域,裴家川口,2021-11-16 16:00:00,Ⅱ,5.5,8.65,11.6,596.5,13.5,1.34,0.292,0.005,5.19,*,*,正常
460,山西省,黄河流域,碛口,2021-11-16 16:00:00,Ⅲ,7.1,8.61,11.12,1109.7,24.7,3.9,0.219,0.103,8.2,*,*,正常
461,山西省,黄河流域,裴沟,2021-11-16 16:00:00,劣Ⅴ,7.1,9,11.42,1096.4,1.7,2.92,0.205,0.005,10.03,*,*,正常
462,山西省,黄河流域,三川河两河口桥,2021-11-16 16:00:00,劣Ⅴ,7.9,8.54,12.75,1003,5,4.27,2.12,0.082,10.7,*,*,正常
463,山西省,黄河流域,碧村,2021-11-16 16:00:00,Ⅳ,4.5,8.43,10.7,958.6,22.5,4.73,1.474,0.092,9.29,*,*,正常
464,山西省,黄河流域,北峪口,2021-11-16 16:00:00,Ⅱ,9.1,8.35,10.41,533.8,14.3,2.38,0.025,0.005,2.78,*,*,正常
465,山西省,黄河流域,南姚,2021-11-16 16:00:00,Ⅲ,8.8,8.08,9.43,687,159.8,4.21,0.678,0.162,4.66,*,*,正常
466,山西省,黄河流域,韩武村,2021-11-16 16:00:00,Ⅳ,11.2,7.94,15.04,1515.3,9.6,5.48,0.905,0.188,8.06,*,*,正常
467,山西省,黄河流域,上兰,2021-11-16 16:00:00,Ⅰ,7.5,8.31,10.99,894.8,1.6,1.59,0.025,0.005,2.37,*,*,正常
468,山西省,黄河流域,汾河水库出口,2021-11-16 16:00:00,Ⅰ,8,8.32,9.01,669.3,2.1,1.45,0.025,0.005,1.5,0.001,1530111,正常
469,山西省,海河流域,堡子湾,2021-11-16 16:00:00,Ⅱ,3.7,8.43,13.21,1041.9,10,1.66,0.025,0.067,10.8,*,*,正常
470,广西壮族自治区,珠江流域,六景,2021-11-16 16:00:00,Ⅱ,22.7,7.85,7.83,326.4,12.9,1.05,0.025,0.038,2.6,*,*,正常
471,广西壮族自治区,珠江流域,雁江,2021-11-16 16:00:00,Ⅱ,21.9,7.91,7.43,404.4,4.4,0.74,0.07,0.031,1.77,*,*,正常
472,广西壮族自治区,珠江流域,上中,2021-11-16 16:00:00,Ⅱ,22.1,7.77,9.1,304.3,4.3,0.67,0.025,0.021,2.28,*,*,正常
473,广西壮族自治区,珠江流域,白马,2021-11-16 16:00:00,劣Ⅴ,22.5,5.21,8.05,416.1,5.6,0.8,0.032,0.033,2.05,*,*,正常
474,广西壮族自治区,珠江流域,梅林,2021-11-16 12:00:00,Ⅱ,20.7,6.84,8.96,121.6,18.8,0.87,0.275,*,*,*,*,正常
475,广西壮族自治区,珠江流域,露塘,2021-11-16 16:00:00,Ⅰ,19.6,7.65,8.98,152,3.4,0.79,0.025,0.016,0.98,*,*,正常
476,广西壮族自治区,珠江流域,渔村,2021-11-16 12:00:00,Ⅱ,19.5,7.84,8.24,225.9,31.4,2.21,0.025,0.054,2.72,*,*,正常
477,广西壮族自治区,珠江流域,木洞,2021-11-16 12:00:00,Ⅰ,18.5,7.06,8.62,82.7,69.4,1.06,0.032,0.016,1.1,*,*,正常
478,广西壮族自治区,珠江流域,龙溪,2021-11-16 12:00:00,Ⅱ,17.7,7.15,8.57,157.6,15,1.57,0.025,0.048,2.04,*,*,正常
479,广西壮族自治区,长江流域,随滩,2021-11-16 12:00:00,Ⅱ,15.4,6.65,12.02,65.3,11.5,0.98,0.22,*,*,*,*,正常
480,广西壮族自治区,珠江流域,阳朔,2021-11-16 16:00:00,Ⅰ,18.8,7.57,9.99,169.8,1.9,1.06,0.025,0.011,1.68,*,*,正常
481,广西壮族自治区,珠江流域,水库出水口,??,,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
482,广西壮族自治区,珠江流域,交州,??,,--,--,--,--,--,--,--,--,--,*,*,不具备运行条件
483,广西壮族自治区,珠江流域,京南,2021-11-16 16:00:00,Ⅱ,21.3,7.52,8.48,177.8,5.2,0.26,0.025,0.044,1.23,*,*,正常
484,广西壮族自治区,珠江流域,石良角,2021-11-16 12:00:00,Ⅱ,23.2,7.57,7.58,266.2,14.1,1.14,0.025,0.022,2.07,*,*,正常
485,广西壮族自治区,珠江流域,亚桥,2021-11-16 12:00:00,Ⅱ,22.2,7.11,8.26,10456.5,15.4,3.05,0.39,0.048,2.21,*,*,正常
486,广西壮族自治区,珠江流域,东边埇,2021-11-16 16:00:00,Ⅱ,23.4,6.66,7.44,87.3,15.5,2.28,0.025,0.103,2.43,*,*,正常
487,广西壮族自治区,珠江流域,南域,2021-11-16 16:00:00,Ⅱ,23.8,7.3,8,3485.9,12.9,3.1,0.025,0.065,2.72,*,*,正常
488,广西壮族自治区,珠江流域,西门江,2021-11-16 16:00:00,Ⅲ,23.2,7.01,6.34,527.4,26.7,2.77,0.333,0.11,3.53,*,*,正常
489,广西壮族自治区,珠江流域,高速公路桥,2021-11-16 16:00:00,Ⅲ,24.1,7.24,9.57,221.5,11,4.64,0.095,0.096,2.19,*,*,正常
490,广西壮族自治区,珠江流域,婆围村,2021-11-16 16:00:00,Ⅲ,26.1,7.59,15.44,21583.3,7.6,4.16,0.147,0.052,1.97,*,*,正常
491,广西壮族自治区,珠江流域,东兴,2021-11-16 12:00:00,Ⅰ,22.8,6.83,8.62,32,7.1,0.8,0.041,*,*,*,*,正常
492,广西壮族自治区,珠江流域,狗尾濑,2021-11-16 16:00:00,Ⅱ,22,6.92,9.51,29.3,5.5,0.67,0.029,0.058,0.75,*,*,正常
493,广西壮族自治区,珠江流域,木头滩,2021-11-16 16:00:00,Ⅱ,22.5,6.92,8.31,35.4,2.8,0.78,0.042,0.08,1.22,*,*,正常
494,广西壮族自治区,珠江流域,三滩,2021-11-16 16:00:00,Ⅱ,21.5,8.42,11.17,13101.6,7.2,1.94,0.15,0.081,1.24,*,*,正常
495,广西壮族自治区,珠江流域,边贸码头,2021-11-16 16:00:00,Ⅱ,22.8,6.81,8.73,69.3,10.5,1.36,0.233,0.091,1.26,*,*,正常
496,广西壮族自治区,珠江流域,高塘,2021-11-16 16:00:00,Ⅱ,22.9,7.32,11.69,67.8,10.6,3.55,0.025,0.056,1.58,*,*,正常
497,广西壮族自治区,珠江流域,茅岭大桥,2021-11-16 16:00:00,Ⅱ,21.9,7.24,8.42,4183.1,8.5,2.24,0.138,0.07,1.21,*,*,正常
498,广西壮族自治区,珠江流域,钦江东,2021-11-16 16:00:00,Ⅱ,22.5,7.09,6.28,3204.8,12.7,2.36,0.074,0.064,2.84,*,*,正常
499,广西壮族自治区,珠江流域,高速公路西桥,2021-11-16 16:00:00,Ⅳ,21.5,7.66,7.32,9980.7,26,4.97,0.642,0.141,6.16,*,*,正常
500,广西壮族自治区,珠江流域,武林渡口,2021-11-16 12:00:00,Ⅱ,23,8,8.06,310,11.7,0.81,0.025,0.035,2.07,*,*,正常
501,广西壮族自治区,珠江流域,石嘴,2021-11-16 12:00:00,Ⅱ,23.6,8.4,7.67,262.6,17.2,1.1,0.025,0.032,2.19,*,*,正常
502,广西壮族自治区,珠江流域,火电厂,2021-11-16 12:00:00,Ⅱ,22.3,7.79,7.64,322.1,21.3,1.57,0.025,0.037,2.68,*,*,正常
503,广西壮族自治区,珠江流域,鼠岭(文车桥),2021-11-16 12:00:00,Ⅱ,24.8,7.16,6.95,182.2,7,2.87,0.025,0.008,1.42,*,*,正常
504,广西壮族自治区,珠江流域,爽底坪,2021-11-16 12:00:00,Ⅰ,20.8,7.03,8.21,105.8,9.1,1.79,0.09,*,*,*,*,正常
505,广西壮族自治区,珠江流域,自良渡口,2021-11-16 16:00:00,Ⅱ,22.6,7.35,8.43,183,4.9,1.68,0.025,0.07,2.47,*,*,正常
506,广西壮族自治区,珠江流域,横塘,2021-11-16 16:00:00,Ⅲ,23.9,7.45,8.05,584.1,4.4,2.93,0.025,0.164,4.03,*,*,正常
507,广西壮族自治区,珠江流域,坡脚(八大河),2021-11-16 12:00:00,Ⅳ,16.7,7.98,4.62,732.9,24.3,1.41,0.18,0.022,3.58,*,*,正常
508,广西壮族自治区,珠江流域,隘屯(上皿屯),2021-11-16 16:00:00,Ⅱ,19.8,7.98,9.23,344.9,4.6,0.25,0.025,0.029,1.11,*,*,正常
509,广西壮族自治区,珠江流域,澄碧河水库,2021-11-16 12:00:00,Ⅱ,23.7,8.74,6.84,222.3,7.4,0.57,0.025,0.005,0.67,*,*,正常
510,广西壮族自治区,珠江流域,公篓,2021-11-16 16:00:00,,21.8,7.84,7.93,349.6,4.3,--,0.025,0.04,1.1,*,*,维护
511,广西壮族自治区,珠江流域,扶隆,2021-11-16 12:00:00,Ⅱ,21.8,7.67,7.62,236.6,84.6,2.04,0.12,0.094,2,*,*,正常
512,广西壮族自治区,珠江流域,桂花,2021-11-16 16:00:00,Ⅱ,21.1,7.54,7.84,228,37.6,1.35,0.025,0.058,2,*,*,正常
513,广西壮族自治区,珠江流域,贺街,2021-11-16 16:00:00,Ⅱ,20,7.55,9.38,219.9,17.5,1.26,0.048,0.056,1.86,*,*,正常
514,广西壮族自治区,珠江流域,六排,2021-11-16 12:00:00,,21.7,7.81,6.59,348.8,1,--,0.025,0.011,1.66,*,*,维护
515,广西壮族自治区,珠江流域,大化,2021-11-16 12:00:00,Ⅱ,22.2,7.9,7.31,352.1,3.3,0.73,0.025,0.015,1.88,*,*,正常
516,广西壮族自治区,珠江流域,杨民,??,,--,--,--,--,--,--,--,--,--,*,*,维护
517,广西壮族自治区,珠江流域,龙岩滩水库,2021-11-16 12:00:00,Ⅲ,22.8,7.91,5.88,342.8,0.1,0.73,0.025,0.014,1.84,0.001,646677,正常
518,广西壮族自治区,珠江流域,车渡,2021-11-16 12:00:00,Ⅰ,22.8,7.95,7.67,379.1,13,1.88,0.025,0.02,2.03,*,*,正常
519,广西壮族自治区,珠江流域,垒亭,2021-11-16 16:00:00,Ⅰ,22.5,7.42,7.73,347.9,5.7,0.58,0.025,0.013,1.76,*,*,正常
520,广西壮族自治区,珠江流域,石龙,2021-11-16 12:00:00,Ⅱ,20.6,7.67,7.8,203.8,10.1,1.11,0.025,0.027,1.41,*,*,正常
521,广西壮族自治区,珠江流域,象州运江老街,2021-11-16 12:00:00,Ⅱ,20.2,7.96,9.1,181,25.2,0.56,0.025,0.028,1.26,*,*,正常
522,广西壮族自治区,珠江流域,勒马,2021-11-16 12:00:00,Ⅰ,21.6,7.9,8.08,245.9,5.4,0.67,0.025,0.02,1.61,*,*,正常
523,广西壮族自治区,珠江流域,德天,2021-11-16 12:00:00,Ⅱ,20.8,7.79,8.47,350.8,28.1,0.57,0.068,0.035,1.29,*,*,正常
524,广西壮族自治区,珠江流域,八角电站,2021-11-16 12:00:00,Ⅰ,22.4,8.03,8.89,363.9,6.6,1.24,0.063,*,*,*,*,正常
525,广西壮族自治区,珠江流域,平而关,2021-11-16 12:00:00,Ⅱ,22.7,7.88,8.57,238.5,19.5,2.52,0.1,*,*,*,*,正常
526,广西壮族自治区,珠江流域,那弄,2021-11-16 16:00:00,Ⅱ,22.1,6.71,7.54,80.6,22.2,2.1,0.025,0.033,1.95,*,*,正常
527,广西壮族自治区,珠江流域,上金,2021-11-16 16:00:00,Ⅱ,21.8,6.58,8.06,104.7,23.3,1.94,0.041,0.025,1.96,*,*,正常
528,广西壮族自治区,珠江流域,渠立,2021-11-16 16:00:00,Ⅱ,23.1,7.27,8.08,306.2,5.3,1.16,0.025,0.021,2.14,*,*,正常
529,广西壮族自治区,珠江流域,棉江,2021-11-16 16:00:00,Ⅱ,22.5,7.14,8.02,210.9,17.8,1.53,0.025,0.025,1.37,*,*,正常
530,广西壮族自治区,珠江流域,平畲,2021-11-16 12:00:00,Ⅰ,22.3,7.99,7.59,321.7,7.3,0.61,0.12,*,*,*,*,正常
531,广西壮族自治区,珠江流域,南岸,2021-11-16 16:00:00,Ⅱ,21.7,8.22,7.85,325.8,10.5,1.09,0.025,0.052,2.67,*,*,正常
532,广西壮族自治区,珠江流域,老口,2021-11-16 12:00:00,Ⅱ,22.9,8,8.94,357.4,6.2,0.97,0.063,0.03,2.29,*,*,正常
533,广西壮族自治区,珠江流域,叮当,2021-11-16 16:00:00,Ⅱ,21.9,7.64,6.82,352.9,10.1,1.19,0.025,0.047,3.33,*,*,正常
534,内蒙古自治区,黄河流域,画匠营子,2021-11-16 12:00:00,Ⅱ,7.1,8.08,10.65,824.8,353.3,3.46,0.026,*,*,*,*,正常
535,内蒙古自治区,黄河流域,磴口,2021-11-16 16:00:00,Ⅱ,3.2,8.52,11.83,633.3,193.4,3.24,0.025,0.061,2.6,*,*,正常
536,内蒙古自治区,黄河流域,海勃湾,2021-11-16 12:00:00,Ⅱ,6.8,8.45,9.76,749.6,73.3,1.82,0.27,*,*,*,*,正常
537,内蒙古自治区,松花江流域,讷尔克气,2021-11-16 16:00:00,Ⅱ,2.5,7.2,13.09,77.5,2.7,2.23,0.025,0.012,0.45,*,*,正常
538,内蒙古自治区,黄河流域,黑柳子,2021-11-16 16:00:00,Ⅰ,4.6,8.73,14.91,663.7,5.8,1.64,0.025,0.009,1.85,*,*,正常
539,内蒙古自治区,黄河流域,总排干入黄口,2021-11-16 12:00:00,Ⅳ,9.6,8.34,8.35,2157,29.6,4.95,1.002,0.034,1.73,*,*,正常
540,内蒙古自治区,黄河流域,三盛公,2021-11-16 16:00:00,Ⅱ,5.4,8.84,11.65,567.2,85,2.32,0.025,0.043,2.35,*,*,正常
541,内蒙古自治区,黄河流域,卧佛下,2021-11-16 16:00:00,Ⅱ,4.1,8.5,10.41,805.7,2.1,2.43,0.03,0.023,9.3,*,*,正常
542,内蒙古自治区,黄河流域,头道拐,2021-11-16 16:00:00,Ⅱ,4,8.44,10.23,713.6,305.9,2.83,0.033,0.027,1.59,*,*,正常
543,内蒙古自治区,黄河流域,喇嘛湾,2021-11-16 12:00:00,Ⅱ,3,8.36,11.93,505.8,649.2,3.1,0.098,0.017,3.86,*,*,正常
544,内蒙古自治区,黄河流域,大入黄口,2021-11-16 16:00:00,Ⅲ,6.9,7.64,11.96,1567.8,24.9,5.77,0.12,0.066,0.41,*,*,正常
545,海南省,珠江流域,后黎村,2021-11-16 16:00:00,Ⅱ,25.4,7.35,8.67,91.9,11.8,2.73,0.025,0.058,1.84,*,*,正常
546,海南省,珠江流域,水库出口(大隆水库出口),2021-11-16 12:00:00,Ⅱ,26.3,7.13,6.95,114.7,2.5,2.36,0.35,0.014,0.6,0.012,6592191,正常
547,海南省,珠江流域,林家村,2021-11-16 16:00:00,Ⅱ,29,8.13,11.81,332.4,7.6,1.36,0.025,0.018,0.93,*,*,正常
548,海南省,珠江流域,崖城大桥,2021-11-16 16:00:00,Ⅱ,28.4,7.14,7.97,145,6.8,2.32,0.059,0.04,1.84,*,*,正常
549,海南省,珠江流域,藤桥河大桥,2021-11-16 16:00:00,Ⅱ,26.7,7.2,7.74,403.6,10.4,1.11,0.025,0.031,2,*,*,正常
550,海南省,珠江流域,南丰库心(海南),2021-11-16 12:00:00,Ⅱ,23.5,6.72,7.33,111.3,5,3.47,0.048,0.024,0.34,0.008,7245180,正常
551,海南省,珠江流域,上村桥,2021-11-16 16:00:00,Ⅱ,28.2,7.62,9.31,157.3,22.6,2.22,0.025,0.054,1.56,*,*,正常
552,海南省,珠江流域,中和桥,2021-11-16 16:00:00,Ⅲ,26.1,7.41,8.58,179.1,47.1,4.12,0.07,0.149,2.59,*,*,正常
553,海南省,珠江流域,龙江,2021-11-16 16:00:00,Ⅱ,24.8,6.69,7.38,51.6,12.5,1.77,0.025,0.038,1.02,*,*,正常
554,海南省,珠江流域,溪仔村,2021-11-16 16:00:00,,24.4,6.92,8.01,7.5,14.2,--,0.025,0.053,1.94,*,*,维护
555,海南省,珠江流域,羊头外村桥,2021-11-16 16:00:00,Ⅱ,25.3,7.21,8.43,101.8,12.1,3.89,0.026,0.06,2.02,*,*,正常
556,海南省,珠江流域,农垦橡胶所一队,2021-11-16 16:00:00,Ⅱ,24.5,6.72,7.14,104.9,10.8,0.27,0.025,0.022,1.28,*,*,正常
557,海南省,珠江流域,水涯新区,2021-11-16 16:00:00,Ⅱ,25.8,7.05,6.79,132.2,20.2,1.66,0.15,0.039,1.69,*,*,正常
558,海南省,珠江流域,坡柳水闸,2021-11-16 16:00:00,Ⅳ,25.6,7.93,12.18,144.9,18,6.49,0.025,0.281,2.08,*,*,正常
559,海南省,珠江流域,分洪桥,2021-11-16 16:00:00,Ⅱ,26.1,6.8,7.75,84.5,9.2,1.76,0.032,0.032,1.1,*,*,正常
560,海南省,珠江流域,和乐桥,2021-11-16 16:00:00,Ⅰ,26.4,7.18,8.95,115.5,25.7,1.54,0.045,0.007,2.41,*,*,正常
561,海南省,珠江流域,后安桥,2021-11-16 16:00:00,Ⅱ,24.8,7.13,7.97,85.4,16.9,0.91,0.025,0.054,1.23,*,*,正常
562,海南省,珠江流域,后山村,2021-11-16 16:00:00,Ⅲ,26.3,6.61,5.28,137.2,36.5,2.68,0.327,0.132,1.44,*,*,正常
563,海南省,珠江流域,水库库心(大广坝水库出口),2021-11-16 12:00:00,Ⅲ,25.4,7.21,8.8,69.4,30.3,2.13,0.025,0.04,0.83,0.037,13442400,正常
564,海南省,珠江流域,罗带铁路桥,2021-11-16 16:00:00,Ⅳ,27,7.56,6.45,650.2,33.8,6.27,0.144,0.291,2.94,*,*,正常
565,海南省,珠江流域,山口,2021-11-16 16:00:00,Ⅱ,25.7,7.2,6.96,85.3,6.5,2.18,0.033,0.052,1.14,*,*,正常
566,海南省,珠江流域,白仞滩电站,2021-11-16 16:00:00,Ⅱ,24.9,8.71,8.45,109.9,25,2.4,0.025,0.071,2.01,*,*,正常
567,海南省,珠江流域,大风(昌化),2021-11-16 12:00:00,Ⅱ,26.2,8.01,8.87,127,61.4,3.52,0.025,0.048,1.46,*,*,正常
568,海南省,珠江流域,叉河口,2021-11-16 16:00:00,劣Ⅴ,27.4,9.34,17.54,193.5,8,4.37,0.025,0.068,2.19,*,*,正常
569,海南省,珠江流域,乐中,2021-11-16 16:00:00,Ⅱ,26.5,7.53,8.37,85.4,10.8,1.36,0.025,0.032,0.39,*,*,正常
570,海南省,珠江流域,跨界桥,2021-11-16 16:00:00,Ⅱ,27.8,8.12,10.63,79.2,6.9,3.92,0.025,0.038,0.52,*,*,正常
571,海南省,珠江流域,乐罗,2021-11-16 16:00:00,Ⅲ,28.3,8.67,11.62,318.4,23.6,5.3,0.041,0.076,4.61,*,*,正常
572,海南省,珠江流域,群英大坝,2021-11-16 16:00:00,Ⅱ,24.7,6.98,7.42,85,29.7,1.23,0.025,0.047,0.97,*,*,正常
